Delivery Method,Area Codes,Area Name,Region,Rural,Rural Charge
Shipping - Bay of Plenty,3177,Athenree,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3178,Katikati,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3079,Ruatahuna,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3197,Toatoa,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3198,Waimana,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3077,Guthrie,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3074,Tikitere,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3076,Punaroma,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3171,Lower Kaimai,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3172,Omokoroa Beach,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3173,Oropi,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3175,Upper Papamoa,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3176,Whakamarama,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3179,Minden,Hawke's Bay,FALSE,0
Shipping - Bay of Plenty,3182,Te Puke,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3183,Upper Papamoa,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3186,Ohinepanea,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3187,Papamoa,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3188,Ngawaro,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3189,Paengaroa,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3196,Waimana,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3191,Otangihaku,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3192,Kawerau,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3193,Edgecumbe,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3194,Awakaponga,Bay of Plenty,TRUE,39
Shipping - Bay of Plenty,3010,Glenholme,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3015,Fairy Springs,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3020,Mamaku,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3025,Murupara,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3110,Bellevue,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3112,Gate Pa,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3114,Omokoroa,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3116,Mt Maunganui,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3118,Kairua,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3119,Te Puke,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3120,Coastlands,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3121,Ohope,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3122,Opotiki,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3123,Taneatua,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3127,Kawerau,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3129,Katikati,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3611,Athenree,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3040,Ngapuna,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3041,Ngongotaha,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3042,Owhata,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3043,Whakarewarewa,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3044,Glenholme,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3045,Ngapuna,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3046,Koutu,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3047,Mangakakahi,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3048,Tihiotonga,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3049,Mamaku,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3062,Murupara,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3140,Tauranga,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3141,Tauranga,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3142,Greerton,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3143,Tauranga,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3144,Tauranga,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3145,Otumoetai,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3146,Judea,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3147,Bethlehem,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3148,Hairini,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3149,Omanu,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3150,Mount Maunganui,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3151,Kairua,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3152,Omanu Beach,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3153,Te Puke,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3154,Omokoroa Beach,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3158,Whakatane,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3159,Poroporo,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3160,Edgecumbe,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3161,Ohope Beach,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3162,Opotiki,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3163,Taneatua,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3164,Waimana,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3166,Katikati,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3167,Te Teko,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3168,Matata,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3169,Kawerau,Bay of Plenty,FALSE,0
Shipping - Bay of Plenty,3642,Waihi Beach,Bay of Plenty,FALSE,0
Shipping - Waikato,3078,Atiamuri,Waikato,TRUE,39
Shipping - Waikato,3493,Bruntwood,Waikato,TRUE,39
Shipping - Waikato,3494,Pukeatua,Waikato,TRUE,39
Shipping - Waikato,3495,Leamington,Waikato,TRUE,39
Shipping - Waikato,3496,Whitehall,Waikato,TRUE,39
Shipping - Waikato,3581,Ahimia,Waikato,TRUE,39
Shipping - Waikato,3582,Te Rerenga,Waikato,TRUE,39
Shipping - Waikato,3583,Kennedys Bay,Waikato,TRUE,39
Shipping - Waikato,3584,Colville,Waikato,TRUE,39
Shipping - Waikato,3281,Gordonton,Waikato,TRUE,39
Shipping - Waikato,3282,Rukuhia,Waikato,TRUE,39
Shipping - Waikato,3283,Tamahere,Waikato,TRUE,39
